Exported Users from ╠𝚃𝙽𝙼╣ | 𝐓𝐡𝐞 𝐍𝐞𝐰 𝐌𝐢𝐥𝐢𝐭𝐢𝐚 🏅ᴬᴸᴾᴴᴬ
ID | Username | Server Nickname
--------------------------------
1370143178199535626 | lich.02.#0 | ╠𝚃𝙽𝙼╣ 𝐋𝐢𝐜𝐡
890669470929002506 | franklindrswheelchair#0 | ╠𝚃𝙽𝙼╣Erection  ᴬⁿᵗⁱ⁻ᶜᵃʳˡ
1401389195662200943 | qq.xan#0 | None
1393088495098003537 | omaddie#0 | None
456093103556788234 | sitna.#0 | None
1384888780279775302 | 5hf6#0 | None
1035573379031388200 | basedvon#0 | None
1370067682069713019 | nott_saaei#0 | None
1119579802991599717 | a_ltf4_#0 | None
1392696207280963636 | debator12.#0 | None
1388502190305448016 | blumpind#0 | blout
1399834470567120972 | general_redd#0 | None
1393027932729118843 | jhonhoffnungsupreme#0 | None
1393219943440453662 | iamthatthinginthething#0 | None
1288903500239077408 | jkkozp#0 | None
1265446145572864020 | 12sad2a#0 | None
1059549361794719806 | jordan_hockey2nd#0 | None
1365480469357137965 | milanvesko_#0 | None
1331684701588426817 | schidel#0 | None
1393086539797499995 | christ_is_k1ng#0 | nigguh
1379141080255037501 | radicalmonitoranimate#0 | None
1391168515989442590 | youraveragesodajerkagain#0 | None
1339747646814031928 | 777.77.77.777#0 | None
1291048045768740972 | notmesol_#0 | None
1278291853090885697 | lil_danjasmall#0 | None
1363674545139224618 | aggelos06916#0 | ╠𝚃𝙽𝙼╣ Aggelos
1389125558490894407 | milan_vesko#0 | ╠𝚃𝙽𝙼╣ Armani
1393026412478206095 | atomkriegsmarine.#0 | ╠𝚃𝙽𝙼╣ Atom
1392905472377622560 | stuproseriale#0 | ╠𝚃𝙽𝙼╣ Capo
1392496977652219996 | deepzeta#0 | ╠𝚃𝙽𝙼╣ Delta
1371869092025204796 | freakyolivia#0 | ╠𝚃𝙽𝙼╣ Freaky Olivia
1383732660400160899 | trollpoliceisontop#0 | ╠𝚃𝙽𝙼╣ GANSON THE SAVIOR
1392495019067310191 | l_arp#0 | ╠𝚃𝙽𝙼╣ heil fanto
1147636742099320883 | viperdiver1908#0 | ╠𝚃𝙽𝙼╣ John Marston
1225194824970408011 | karmander_lol#0 | ╠𝚃𝙽𝙼╣ Karma
1385846314817945650 | monsterjam.tm#0 | ╠𝚃𝙽𝙼╣ MonsterJam
1386048155870564365 | valak88.fbi#0 | ╠𝚃𝙽𝙼╣ OogwayChad
1385005266277368002 | wifirap#0 | ╠𝚃𝙽𝙼╣ Router Diddler
1382113731089137824 | s.t.f._#0 | ╠𝚃𝙽𝙼╣ S.T.F.
1302742870708584621 | scavski#0 | ╠𝚃𝙽𝙼╣ scav
1387594325172682826 | commissioner3345#0 | ╠𝚃𝙽𝙼╣ Sockz
921763948993331221 | astral88_#0 | None
1370884028378517725 | nomwow.#0 | ╠𝚃𝙽𝙼╣ Weel
1402838390482931712 | fantoxin#0 | None
1381687562460074044 | slaughterhil#0 | None
1254192751495614518 | ikea.dinningtable#0 | None
1274156980893777922 | ikea.dinningtable6#0 | None
1393037755931693268 | the.ikea_dinningtable7tnm#0 | None
1392823844468953200 | hahahahh0119#0 | None
1392947475161026741 | uetr_enclave#0 | None
1347729380784476160 | selangormations56#0 | None
1326975430477217862 | itzz_astrid.#0 | None
1392539224187863154 | roacheds_.#0 | None
1281711244109287446 | hunter_9901.#0 | None
1395628988856143913 | themohnjarston#0 | None
1108223493335679006 | cherryxblossom_#0 | None
1389075791924695241 | 501st_forever.#0 | None
